Numero;Nimi;Valmistaja;Pullokoko;Hinta;Litrahinta;Tyyppi;Valmistusmaa;Vuosikerta;Alkoholi-%;Energia kcal/100 ml
945096;Adrianna Vineyard Fortuna Terrae Malbec 2015;Catena Zapata;0,75 l;84.96;113.28;punaviinit;Argentiina;2015.0;14.0;80.0
935635;Adrianna Vineyard River Stones Malbec 2017;Catena Zapata;0,75 l;124.91;166.55;punaviinit;Argentiina;2017.0;13.5;80.0
440567;Alamos Malbec Organic 2020;Alamos;0,75 l;10.99;14.52;punaviinit;Argentiina;2020.0;13.5;80.0
424107;Alamos Tempranillo 2016;Alamos;0,75 l;10.99;14.52;punaviinit;Argentiina;2016.0;12.5;70.0
939055;Altos Las Hormigas Clásico Malbec 2018;Altos Las Hormigas;0,75 l;16.99;22.65;punaviinit;Argentiina;2018.0;13.5;80.0
936741;Altos Las Hormigas Terroir Luján de Cuyo 2017;Altos Las Hormigas;0,75 l;18.9;25.2;punaviinit;Argentiina;2017.0;13.5;80.0
945913;Altos Las Hormigas Terroir Malbec 2016;Altos Las Hormigas;0,75 l;20.98;27.97;punaviinit;Argentiina;2016.0;13.5;80.0
921767;Argento Organic Malbec Reserva 2015;Bodega Argento;0,75 l;14.98;19.84;punaviinit;Argentiina;2015.0;14.0;80.0
402217;Argento Paraje Altamira Organic Malbec 2014;Bodega Argento;0,75 l;30.27;40.36;punaviinit;Argentiina;2014.0;14.0;80.0
941387;Argento Reserva Cabernet Franc 2014;Bodega Argento;0,75 l;14.99;19.99;punaviinit;Argentiina;2014.0;14.0;80.0
451687;Argento Seleccion Malbec 2018;Argento Wine Company;0,75 l;10.48;13.84;punaviinit;Argentiina;2018.0;13.5;80.0
924067;Beefsteak Club Malbec 2019;E. I. Wines;0,75 l;10.99;14.52;punaviinit;Argentiina;2019.0;13.5;80.0
903027;Beefsteak Club Reserve Malbec 2016;Andean Vineyards;0,75 l;24.99;33.32;punaviinit;Argentiina;2016.0;14.5;80.0
956585;Beefsteak Club The Mini Malbec 2019;E I Wines;0,187 l;3.99;21.34;punaviinit;Argentiina;2019.0;13.5;80.0
454597;BenMarco Expresivo 2018;Dominio del Plata;0,75 l;29.99;39.85;punaviinit;Argentiina;2018.0;14.5;80.0
446837;BenMarco Malbec 2018;Dominio del Plata;0,75 l;19.89;26.39;punaviinit;Argentiina;2018.0;14.5;80.0
954657;Bodega Piedra Negra Malbec Alta Coleccion 2019;Bodega Piedra Negra;0,75 l;12.9;17.07;punaviinit;Argentiina;2019.0;14.0;80.0
430097;Bodega Piedra Negra Merlot Reserve 2015;Bodega Piedra Negra;0,75 l;13.69;18.12;punaviinit;Argentiina;2015.0;14.5;80.0
935176;Bodega Vistalba Arido Malbec 2017;Bodega Vistalba;0,75 l;14.7;19.6;punaviinit;Argentiina;2017.0;14.5;80.0
4551;Caballo de Mendoza;Altia;0,75 l;7.99;10.52;punaviinit;Argentiina;;14.0;80.0
487307;Cameleon Organic Cabernet Sauvignon 2020;Domaine Bousquet;0,75 l;10.99;14.52;punaviinit;Argentiina;2020.0;14.0;80.0
931718;Caro 2015;Bodegas Caro;0,75 l;54.98;73.31;punaviinit;Argentiina;2015.0;14.0;80.0
411547;Carrascal Cabernet Sauvignon Malbec Organic 2020;Bodega Y Cavas de Weinert;0,75 l;11.99;15.85;punaviinit;Argentiina;2020.0;14.5;80.0
930018;Catena Alta Cabernet Sauvignon 2017;Catena Zapata;0,75 l;39.98;53.17;punaviinit;Argentiina;2017.0;13.5;80.0
438717;Catena Cabernet Sauvignon 2015;Catena Zapata;0,75 l;15.98;21.17;punaviinit;Argentiina;2015.0;13.0;70.0
906487;Catena Malbec 2017;Bodega Catena Zapata;0,75 l;18.98;25.31;punaviinit;Argentiina;2017.0;13.5;80.0
914694;Catena Nicasia Vineyard Malbec 2015;Catena Zapata;0,75 l;59.99;79.99;punaviinit;Argentiina;2015.0;14.0;80.0
496077;Chakana Nuna Tetrada 2019;Chakana;0,75 l;15.99;21.19;punaviinit;Argentiina;2019.0;14.0;80.0
480037;Chakana Nuna Vineyard Cabernet Franc 2019;Proviva;0,75 l;14.98;19.84;punaviinit;Argentiina;2019.0;13.5;80.0
410098;Chill Out Malbec Organic Argentina 2020 muovipullo;Altia;1 l;13.28;12.88;punaviinit;Argentiina;2020.0;13.0;70.0
923877;Comuna Malbec 2017;Bodega Argento;0,75 l;9.98;13.17;punaviinit;Argentiina;2017.0;12.5;70.0
448847;Domaine Bousquet Ameri Single Vineyard 2015;Domaine Bousquet;0,75 l;32.9;43.73;punaviinit;Argentiina;2015.0;14.5;80.0
422587;Domaine Bousquet Gaia Organic 2017;Domaine Bousquet;0,75 l;13.69;18.12;punaviinit;Argentiina;2017.0;14.5;80.0
450517;Domaine Bousquet Reserve Organic Malbec 2020 lahjapakkaus;Domaine Bousquet;0,75 l;15.98;21.17;punaviinit;Argentiina;2020.0;14.5;80.0
466657;Domaine Bousquet Virgen Organic Malbec 2020;Domaine Bousquet;0,75 l;13.99;18.52;punaviinit;Argentiina;2020.0;14.5;80.0
955194;Doña Paula Estate Malbec 2020;Viña Doña Paula;0,75 l;16.99;22.65;punaviinit;Argentiina;2020.0;14.5;80.0
405507;Doña Paula Syrah 2016;Viña Doña Paula;0,75 l;10.99;14.52;punaviinit;Argentiina;2016.0;13.5;80.0
955287;Elsa Bianchi Malbec 2018;Valentin Bianchi;0,75 l;10.11;13.35;punaviinit;Argentiina;2018.0;13.5;80.0
901277;Emma Zuccardi Bonarda 2018;Familia Zuccardi;0,75 l;29.98;39.97;punaviinit;Argentiina;2018.0;13.5;80.0
403627;Episode Crime Bonarda Syrah Tannat 2021;Altia;0,75 l;9.98;13.17;punaviinit;Argentiina;2021.0;13.0;80.0
456707;Famiglia Bianchi Malbec 2019;Valentin Bianchi;0,75 l;12.9;17.07;punaviinit;Argentiina;2019.0;14.5;80.0
6504;Finca Flichman Caballero de la Cepa Cabernet Sauvignon 2015;Finca Flichman;0,75 l;9.77;12.89;punaviinit;Argentiina;2015.0;14.0;80.0
6404;Finca Flichman Shiraz Roble 2015;Finca Flichman;0,75 l;9.43;12.44;punaviinit;Argentiina;2015.0;12.5;70.0
902403;Flechas de Los Andes Aguaribay 2018;Flechas de Los Andes;0,75 l;19.93;26.57;punaviinit;Argentiina;2018.0;14.0;80.0
930156;Flechas de Los Andes Gran Corte 2015;Flechas de Los Andes;0,75 l;39.89;53.19;punaviinit;Argentiina;2015.0;14.5;80.0
431787;Fuzion Organic Malbec 2019;Fuzion Wines;0,75 l;9.98;13.17;punaviinit;Argentiina;2019.0;13.5;80.0
458667;Fuzion The Coffee Shop Red Blend 2020;La Agricola;0,75 l;10.99;14.52;punaviinit;Argentiina;2020.0;15.0;90.0
